评论时间,昵称,评论内容
2020-11-28 17:50:24,制杖蟹吖,我记得是维德奇怪xp的锅[西西疑问]
2020-11-28 15:56:03,酵母菌加乳酸菌,不至于吊打，主要是为了赛罗，其实像老麦就能单杀老贝，但是人家不是999米大长剑
2020-11-28 11:07:22,长生常安的,章北海是引导一部分人走了，使大火不烧死所有人
2020-11-28 09:58:55,知其然亦知其所以然,虫子嘛。可以被轻易踩死，但不太容易彻底消灭。
2020-11-28 01:37:30,用户3248558527,但有母星概念的文明最弱也是可以殖民一个宇宙的存在
2020-11-28 01:34:42,用户3248558527,但地球母星一旦被破坏 ，代表地球的标志就消失 走向宇宙那一批人的基因就会被其它生命体的基因同化变成其它文明的生物了，文化也会慢慢消失，母星没有毁灭的话会有怀念旧世界的人存在 ，文明也不会断层
2020-11-28 01:28:03,用户3248558527,母星存在的意义代表了一个文明的发展史和基因储存库还有文化传承  。一旦母星没有了， 文明就出现断层 甚至可以降级到原始文明或是成为别的文明的生命体了。打个比方，未来地球或许可以走遍星空.走遍宇宙 ，但身为地球人的基因还存在 ，甚至还可以同化其它生命体的基因 ，文化也可以走向宇宙
2020-11-28 01:09:15,用户3248558527,高级文明有高级文明的黑暗森林法则，低级文明有低级文明的黑暗森林法则，因为高级文明的探测实力和范围很强大发现其它高级文明概率非常大，在用低级文明的黑暗森林法则就没有任何用处了，高级文明的黑暗森林法则的核心是不能暴露母星的存在 ，一旦暴露整个文明都走向灭亡
2020-11-27 23:14:19,飞云流苏,"这里应该有不少LOLer吧，个人觉得千珏的主题曲Kindred, the eternal hunters改成《黑暗森林》特别适合！！！就是描述了黑暗森林里追猎、生存、死亡，种群的延续，冷酷的淘汰与筛选，推荐听一下，特别有这种黑暗森林的感觉"
2020-11-27 23:00:44,faet英灵,丁仪？不是哪个死了无数次的男(难)人？
2020-11-27 22:46:50,Driszzt,韦德 丁仪甚至叶文杰都算
2020-11-27 21:54:18,尘封魔帝,熵是能量词。
2020-11-27 19:31:22,沙雕200424,按结局来看这么说完全正确
2020-11-27 19:27:11,思念是行囊,我三体看了五遍难道是看了假书？
2020-11-27 19:24:54,思念是行囊,啊？没说吧？三体第二舰队和未知文明在金牛座开战，胜负无知。第一舰队是和第二舰队反向，星舰地球开发了四个可生存星球，又一个疑似被发现自己造了个黑域，地球文明和三体文明在大宇宙最后都还存在
2020-11-27 19:19:26,思念是行囊,维德百分百
2020-11-27 18:07:06,剪窗月,就在一片冷黑的死寂之中，他看到了宇宙的真相……“面壁者罗辑，我是你的破壁人。”
2020-11-27 16:59:02,皖詠,主，不在乎。主，在找我。              一一天算子
2020-11-27 16:58:43,皖詠,主，不在乎。主，在找我。              一一天算子
2020-11-27 00:02:36,我的头像写满了无敌,都获奖了，就别杠了吧
2020-11-26 21:21:59,R_LuYang,太真实，举报了
2020-11-26 13:02:06,借你二两鸡汤,剧中感觉唯一一个正常的的人[大哭]
2020-11-26 09:53:46,大海狂澜,不是一个世界观还是别比较了吧？
2020-11-25 22:03:26,你们都长大了,根据CDP调查这不是计划的一部分
2020-11-25 22:00:39,你们都长大了,你还真的认为是咒语啊
2020-11-25 20:29:31,djjdieijsjdis,《三个王国的故事》
2020-11-25 19:06:37,极上_,好家伙，是变形金刚的太空桥快还是奥特曼的虫洞快[奸笑]
2020-11-24 23:52:23,你们都长大了,白内障看不清？莎普lce滴眼睛。白内障看不清？莎普lce滴滴滴。模糊滴，重影滴，黑影滴。白lce(原明爱思):我真NB
2020-11-24 20:41:27,人语湖口笙,解读正确
2020-11-24 13:52:01,你们都长大了,沙发:我差点单杀罗辑
2020-11-24 09:02:00,余生超可爱920,爱
2020-11-24 00:27:27,天选者彭祖,谢谢你
2020-11-24 00:24:38,爱冒险的旅行家,如果让林云少校来，威慑力将会是百分之百
2020-11-23 23:14:27,JLA竹清风,三体：罗辑，你不讲武德！
2020-11-23 22:03:53,Emoji_cn,罗辑表示很赞
2020-11-23 21:31:11,沐荒泽,但凡有章北海十分之一枪法人类绝对胜利
2020-11-23 21:30:49,听歌快乐中,我以为只有我自己才会这么想，那我也不用说了
2020-11-23 19:15:19,会吃草的长颈鹿,据说王者荣耀的世界观是大刘写的
2020-11-23 19:13:05,路过的Max,Melodic dubstep 当我看到罗辑被选为面壁者这bgm响起太燃了
2020-11-23 00:55:51,今天又是美好的愈天-_-,当时水滴那一段看的给我吓的。隔着屏幕都感觉到一阵杀气。
2020-11-23 00:54:07,今天又是美好的愈天-_-,小说而已呀。[大哭][大哭][大哭]作者这么写有目的的呀。
2020-11-22 21:34:45,只要够长就能当作id了呢,伊文斯第一部就领盒饭了
2020-11-22 15:40:14,折勝5号,黑暗森林:那一刻，我变成了光
2020-11-22 15:37:27,折勝5号,众所周知，网易和b站没关系
2020-11-22 15:37:01,折勝5号,老奔狗问题了
2020-11-22 12:18:56,Mc买辣皮,外星人说太好听了！！！
2020-11-21 22:18:27,自己的父亲2007,？？？伊文斯早被分尸了
2020-11-21 21:17:31,星辰大海_远航,“我对三体世界说话。”罗辑的声音并不大，因为他知道对方一定会听到..... “对不起，您所呼叫的用户已欠费停机”罗辑：“..........”
2020-11-21 19:26:24,一个月八个商单的神迹_lex,罗辑快乐水
2020-11-21 19:25:39,一个月八个商单的神迹_lex,我的三体不一定，但是B站和网易绝对有一腿[奸笑][奸笑][强]
2020-11-21 15:53:26,残留的傲气,归零！
2020-11-21 12:57:17,单身审判者,汪三水?？
2020-11-21 10:03:14,饼藏__TalE,是那桶变绿的酒[鬼脸]
2020-11-21 07:42:24,杨叫兽卍解,那是粉丝写的哦，应该不算正传  三体x
2020-11-21 00:09:53,柒零1423,人类文明的守墓人
2020-11-20 23:34:19,Mr-Y-1,而且在宇宙中，人类是有爱，但是对面没有，那人类也只能抛弃爱，毕竟爱只会带来严重的后果，除非人类能达到像归零者文明那样的高度，因为神级文明不适用黑暗森林法则，他们是文明发达程度已经打破了法则，属于三维宇宙中最高级的文明之一
2020-11-20 23:29:36,Mr-Y-1,人类没了，可能宇宙不会叫宇宙了，因为“宇宙”只是人类的叫法，但宇宙本身是不会消失的就像韦德所说，失去人性，失去很多，失去兽性，失去一切，这句话自然有它的道理也正是因为程心的爱心泛滥，才导致三体人的攻击和地球三体文明的侵占
2020-11-20 23:20:49,Mr-Y-1,宇宙本身并没有爱，而是生物之间产生了爱听你这话说的，听起来像是在藐视宇宙似的，人类的存在对于宇宙没有一丁点影响，人类只是宇宙中的沧海一粟，其他的文明一抓一大把，可能光银河系的文明的数量就要以10位数来起步，就更别提宇宙中的文明了
2020-11-20 19:44:28,沙雕的Minecraft,智子的武士刀
2020-11-20 18:34:55,背背背起了行囊_十年老兵,冰冻罗非鱼【脚动滑稽】
2020-11-20 18:34:15,背背背起了行囊_十年老兵,拖更者神游八方，我是你的催更人！！
2020-11-20 18:32:17,背背背起了行囊_十年老兵,主（主）不（很）在（在）乎（乎）
2020-11-20 13:17:19,用户85455,快出书，我已经想看了！
2020-11-20 11:46:06,十二夜飞鸟集,前进四！都一样[猫]
2020-11-20 00:27:38,一只303-,只是用刻板印象来塑造而已，不然又该有一群人说：你这什么玩意男人不像男人女人不像女人
2020-11-20 00:17:37,厄舍,啊，看那
2020-11-20 00:16:46,厄舍,啊 看那，无尽叠加的千层饼
2020-11-19 21:52:16,提亚福斯,宇宙又怎样？失去了有人性的人类，那还叫宇宙吗？宇宙就是要有爱的呀
2020-11-19 21:51:31,提亚福斯,韦德唯一想说的就是谢谢，最后诚心给他送上的那，一根雪茄他不想和程欣说任何话
2020-11-19 21:28:52,一只叫白的狐妖,地球人:我日三体人:我晶
2020-11-19 20:15:42,沙雕的Minecraft,思想钢印也是武器。
2020-11-19 20:13:39,沙雕的Minecraft,我怀疑你在开车
2020-11-19 20:13:16,沙雕的Minecraft,针眼画师的画
2020-11-19 20:05:02,一只平平无奇的大白鹅-颜颜,好吧，咱们各退一步，我不是猪，你不是人
2020-11-19 20:02:18,一只平平无奇的大白鹅-颜颜,黄，真**黄呀！
2020-11-19 20:00:58,一只平平无奇的大白鹅-颜颜,大史“淦”！罗辑“恭喜你答错了，**”大史“我**你个大**”
2020-11-19 19:06:35,旋律已旧丶欣,地球撤回了一条消息。归零者:打开后台查询IP地址
2020-11-19 13:26:04,Chara_5,是开着直升机在黑暗森林上面开大灯
2020-11-19 10:52:54,执墨纳川,啊，看那
2020-11-18 23:12:00,你们都长大了,ETO专家鉴定过这酒能喝
2020-11-18 19:37:03,但愿人常久_,宏大伟大
2020-11-18 19:10:40,旋律已旧丶欣,直接就是让你再看一遍
2020-11-18 18:46:38,旋律已旧丶欣,好像去掉，就是被古筝给切了
2020-11-18 18:38:01,旋律已旧丶欣,感谢你们为我们带来这么美好的作品，看完之后感触很深，希望尽快更新第三季，非常感谢！永远支持你们
2020-11-18 15:23:15,最最可恶的妖怪,本命英雄女娲
2020-11-18 00:14:57,RockmanZero-Omega,"“面壁者大司马，我是你的破壁人”“所以说小伙子，你只看到了第二层，而你把我想象成第一层，其实，我是第五层。”"
2020-11-17 22:48:39,永远的鸟笼_,原著就是《三国演义》
2020-11-17 21:28:25,带你去看海上的明月,那还是得往好地方想想的😅（真希望是这样awa）
2020-11-17 21:25:26,带你去看海上的明月,试试声控？🌚💦
2020-11-17 21:16:36,带你去看海上的明月,我倒是觉得在“很久以前还是充满乐趣”的那一段觉得歌者文明以前也是非常缤纷的，甚至很像人类的文明，后来因为宇宙在开始打仗之后慢慢的把自己降维得以生存然后文明慢慢变得集权辽，之后对生物进行了“机械飞升”的行为，所以才能翻思想体？🌚💦
2020-11-17 21:05:51,带你去看海上的明月,当时看着书就私下使劲“维德你打头啊，大脑！大脑啊！！！”🌚💦
2020-11-17 20:18:22,沐荒泽,韦德指剑直接共赴黄泉
2020-11-17 20:17:48,沐荒泽,啥？队友？！
2020-11-17 20:17:31,沐荒泽,我的三体里魔改的
2020-11-17 20:17:03,沐荒泽,奥特曼是护林员，那个世界没有带枪的猎人，只有一群群迷失的游客和带枪的老警察
2020-11-17 20:15:58,沐荒泽,还有冰湖
2020-11-17 20:15:00,沐荒泽,章北海犹豫了，他认为总有人要牺牲，不如自己去
2020-11-17 20:14:17,沐荒泽,是章北海
2020-11-17 20:13:57,沐荒泽,没错
2020-11-17 20:13:41,沐荒泽,技术爆炸不存在，猜疑链不存在，[多多笑哭]
2020-11-17 10:27:13,祈何_HQ,章北海还没有维德那么理性。维德是一个恐怖的人，连智子都害怕，比罗辑更理性。恐怖到，100%会按下引力波发射器。在任何时候都理性到极致。但是我就是很不懂，最后为啥心软了，会听程心的。
2020-11-16 23:23:59,一只303-,神游是不是要鸽掉第四季了
2020-11-16 21:47:00,里奇1805,但我终结了一个面壁者[奸笑]
2020-11-16 21:31:19,223391907,233[大哭]
2020-11-16 20:34:37,就爱吃酱,那我感觉程心也得算一个，人类文明灭亡也是人家的功劳
2020-11-16 17:39:38,僵尸君哟,大佬们加油啊
2020-11-16 16:26:02,Mycroft的发际线,射… 射击大师🌝
2020-11-15 23:42:24,某不知名面壁者,关键是那人没看过还在那装。
2020-11-15 23:40:59,某不知名面壁者,补充下星舰人类没被三体人灭后面应该灭亡了
2020-11-15 23:39:58,某不知名面壁者,死线是归零者造的不是星舰地球造的[汗]
2020-11-15 23:38:35,某不知名面壁者,你去看下那人评论真的云啊比如水滴没杀罗辑他说是三体人仁慈
2020-11-15 23:37:32,某不知名面壁者,关键是没被灭呀
2020-11-15 20:50:17,Mr-Y-1,但也就是因为选择了程心，而三体人觉得她不会按按钮所以才展开攻击的，我看到程心真没按的时候我都看傻了
2020-11-15 20:47:36,Mr-Y-1,现在可好，别说太阳了，宇宙都让某圣母搞没了
2020-11-15 20:41:09,Mr-Y-1,程心作为人那确实是很完美，甚至无可挑剔，但是作为领袖一类的，那只能说她还不够格，因为这个位置不需要善，也不需要恶，只有利益，对人类的绝对的利益，宇宙不是童话，宇宙没有正义邪恶，更没有人性，只有利益和存亡
2020-11-15 20:38:35,Mr-Y-1,人类文明的毁灭不能说和程心没有关系，毕竟人类选择了死神，但杀人权仍然是死神的权力，人类只能说是间接，并且这个间接的力度很大，但宇宙的毁灭纯纯就是程心一手造成的
2020-11-15 20:35:42,Mr-Y-1,没错，人类的科技过于发达，导致了愚者和智者之间有一个非常大的峡谷，聪明的人非常聪明，而蠢的人过于愚蠢，因为科技的发达而拥有的大量的生产力会使人类过上高质量，资源充足的生活，还有人力被机器代替，这就会有了说白了就是混吃等死人士，而高智商人士都会成为博士或者计算机机器人管理
2020-11-15 20:25:26,Mr-Y-1,首先你没搞明白这个逻辑，人类为什么选择死神?那是因为她是死神所以人类才会选择她，而如果她不是死神那人类就不会选择她，那没了死神也就不会有死亡，所以根本原因还是被选择的这个人，和选择者只是间接关系，并且死神的杀人权在她自己的手中，她杀人完全是主动意识，并不是被动意识。
2020-11-15 20:17:22,Mr-Y-1,如果说黑暗森林里的普通文明是猎人，那归零者就是钢铁侠
2020-11-15 19:25:10,闻暮dusk,gx他们速度能到光速？他们就是科技发达一些
2020-11-15 19:22:02,超级无敌螺旋年糕,但是一想起以后我的子孙后代要被程心这样的人领导。我就体会到那句想再活500年的意境了
2020-11-15 19:15:08,超级无敌螺旋年糕,那个是大神文明为了克服黑森林的一种做法。而且好像奥特曼真的不怕二向薄。
2020-11-15 19:07:19,小寒ag,老渔夫了
2020-11-15 19:01:51,超级无敌螺旋年糕,:游戏里的女娲和盘古都是旧世界的难民，旧时空要毁灭才坐着避难船(方舟)逃难的。而为什么里面会出现一些和历史类似的人物是因为旧世界的毁灭是因为时空的崩塌，崩塌后的新世界里时空碎片掺杂其中又互相影响，形成了某种必然。。。
2020-11-15 18:53:53,超级无敌螺旋年糕,不是吧，这个事是真的腾讯既然不拿来嘚瑟
2020-11-15 18:36:42,隔壁家的阿靖呀,但是汪淼留下的东西确很有用
2020-11-15 16:45:06,秋之韵0108,文火
2020-11-15 16:43:08,秋之韵0108,还有文火[呲牙]
2020-11-15 15:07:05,sigh-sadness,ds因为保护了罗辑，所以有用[大哭]
2020-11-15 15:05:29,sigh-sadness,罗辑传出了不久的时候，这里连999都没到，第二次来看已经一万多了我的三体 把这本书展现在了大众的眼里感谢😊
2020-11-15 12:20:34,__歌者__,我直接二向箔打击👦🏻
2020-11-15 11:01:47,天机局,自以为很懂？看了一会三体就觉得自己很牛逼了？ 觉得自己很厉害了？
2020-11-15 11:01:04,天机局,云警？
2020-11-14 21:33:12,兜里的囧君,太同意了
2020-11-14 21:32:59,兜里的囧君,同意 没有叶文洁就没有罗辑的面壁成功 没有她也就没有三体入侵 天使与魔鬼
2020-11-14 20:01:42,折勝5号,三体三女人毁灭全宇宙
2020-11-14 19:57:52,折勝5号,我的初中班主任也是，物理老师，有一次我问她题时举了个例子关于超距通信的她就问我是不是看过《三体》[大哭]
2020-11-14 19:48:38,djjdieijsjdis,汪淼-人类眼中的工具人
2020-11-14 18:44:24,望殇兮,100%韦德
2020-11-14 18:05:15,人类比赛_还未结束,多年后，我又回来听了这首歌，最后才发现，没人感谢罗辑.
2020-11-14 15:59:46,傻男孩kiss,是Killer.
2020-11-14 15:46:52,你的女士是我啊,加油加油
2020-11-14 12:01:18,MoMa_KuTa,信  圣  母  者，得  永  生
2020-11-14 11:20:43,盄賸颺纗缞,王者荣耀世界观就是刘慈欣写的，你不信可以查
2020-11-14 09:01:09,刑yi,震撼
2020-11-14 02:04:29,最后的神之手,罗非鱼，永远滴神
2020-11-14 02:04:04,最后的神之手,甚至还往火里泼了一桶汽油[西西奸笑]
2020-11-13 23:50:48,某不知名面壁者,那人老☁️了
2020-11-13 23:49:30,某不知名面壁者,☁️赶紧去看书别在这☁️
2020-11-13 23:48:50,某不知名面壁者,那人好像☁️读者
2020-11-13 23:46:22,某不知名面壁者,你看过书？水滴灭了罗辑的话人类也大体知道黑森法则☁️读者
2020-11-13 23:40:38,某不知名面壁者,看过书？星舰地球怎么就被灭了
2020-11-13 23:37:17,某不知名面壁者,归零者在其他高维文明眼中真的算不上什么
2020-11-13 22:48:46,THE_14,不是可以升维，吞噬帝国是可以进入高维，你本来就有能进去和二维改三位是不一样的。维度一旦被破坏性降低（降维武器），高维信息就丢失了，以能量的形式放出来，不能恢复了。原文中有说。升维也不是更高文明的技术，智子就可以。
2020-11-13 21:56:23,屑刀客塔想考到810分,这是个梗哈哈哈哈哈我加滑稽了快来欺负这个老实人
2020-11-13 21:32:40,卧艹艹艹艹艹艹艹艹艹艹艹艹艹,他是作者。。。
2020-11-13 21:29:47,卧艹艹艹艹艹艹艹艹艹艹艹艹艹,是水星
2020-11-13 17:40:43,小树林呦走一走,汪三水不配拥有姓名[大哭]
2020-11-13 17:05:23,小马奔腾万赫雷,撵我脸上了
2020-11-13 13:07:38,凛冽丨星雨,呃，大刘都说这是笔误，怎么还有人信
2020-11-13 00:05:32,一条特立独行的罗非鱼,世界属于三体，固体，液体和气体
2020-11-12 19:27:53,蓝色饼铛舰长,本考试由智子监考，请勿妄图欺骗主
2020-11-12 19:26:55,蓝色饼铛舰长,三体炸了，三体舰队在2000年出发，预计400年后到达地球；太阳膨胀了，流浪地球在2040年出发，预计2000年后到达三体星系。地球和三体星系的距离约为4光年，请问他们什么时候相遇？那么中间有一个智子，可以以光速折返于流浪地球与三体舰队，请问智子总共走了多少光年直到地球与三体碰面？
2020-11-12 18:39:50,伊万诺维奇z,汪淼好像是存在感最低的主角
2020-11-12 16:22:25,夏季丶指间流走sunshine,两万多评论了，加油！
2020-11-12 12:23:26,回忆是路过我耳朵的忧伤,不能，我已收到
2020-11-12 10:25:30,RX-78-2Gundam,“我对三体世界说话。”罗辑说，声音并不高，他本想重复一遍，但是没有，他知道对方能听到。罗辑离开墓碑，站到他为自己挖掘的墓穴旁，将手枪顶到自己的心脏位置。
2020-11-12 10:24:49,Icy_wake,好
2020-11-11 22:20:20,知其然亦知其所以然,辛苦了
2020-11-11 21:22:15,----龙猫----,“不行。”长老立刻回答“威力太大。”
2020-11-11 19:05:46,蓝色饼铛舰长,收到，已照做
2020-11-10 21:09:54,凉皮佛,两堆虫子之间的战斗，在虫子眼里十分壮观；但在大神眼里，只是两堆虫子在打架而已
2020-11-10 21:02:11,凉皮佛,目前我的三体原作者正在制作中，预计2022年上线～
2020-11-10 20:58:40,B站星尘之海,hhhc
2020-11-10 13:02:16,夜色丶未央_ps7B,同城
2020-11-10 11:25:07,亚哥布兰度,简单来说就是把被诅咒的恒星坐标以无线电的形式发送出去，让全宇宙知道他的位置，被诅咒的恒星上面有没有文明已经不重要了，总有高级文明回去毁灭他的
2020-11-10 06:37:01,暮影thisme,广播地球坐标
2020-11-09 23:22:27,南宮痕1710,膜拜大佬！！！
2020-11-09 22:06:38,水充满了自身,我问一下，程心传什么时候出，不出信不信我给你三连（取关 举报 踩）
2020-11-09 22:05:29,水充满了自身,我的三体的？
2020-11-09 22:04:24,水充满了自身,叶文洁：所以能撤回吗？
2020-11-09 20:40:40,提亚福斯,监听员对逻辑说，也许爱的萌芽，在雨之后的其他地方也存在，我们应该鼓励他的萌发和成长，为此我们可以冒险逻辑的回答是对可以冒险。而且对死神永生他已经回答过了，太阳快落下山了，你们孩子居然不害怕，当然不害怕他知道明天太阳还会再升起来。从这里就早就可以看出来逻辑，不在乎人类。
2020-11-09 20:39:28,提亚福斯,在第2季的结尾，黑暗森林，作者已经来下伏笔了，逻辑并不讨厌爱，因为它在于半个世纪前曾向地球发出警告的监听员的对话中，已经表明，三体世界也是有爱的，但因其不利于文明的整体生存而被压抑在萌芽状态，但这种萌芽的生命力很顽强，会在某些个体身上成长起来。
2020-11-09 19:24:34,提亚福斯,我真希望一开始与主对话的是罗辑啊。而且三体二中活了200岁的监察员，已经告诉了你们之后的所有剧情，他也早已表明，不管接下来会发生什么罗辑都不在乎。
2020-11-09 14:28:33,怎么可以这么随便,一首让人起鸡皮的歌
2020-11-09 13:20:41,HaJucy,啊啊啊啊啊啊啊啊我真的好爱云村！我昨天B站刚刷了三体的剪辑视频，很喜欢这首，还有夜航星，但是我太累了就去睡了，结果今天日推就是黑暗森林！云村！你把我惹哭了，要负责！！！[流泪][流泪][流泪]
2020-11-09 12:53:05,高砹酸钫-切断传播途径,谢谢[拜]
2020-11-09 12:19:12,Tim40404,（我们的舰队在太阳的一颗卫星中发现了一些古老的遗迹经过科学家们的考古，最终确定一个名为人类的种族灭亡与自己无休止的内斗之中）
2020-11-09 09:14:13,丨陌璃,真的[奸笑]
2020-11-08 22:45:55,小小亮-xxl,感谢我的三体圆了我的三体电影梦
2020-11-08 20:24:15,Diego_Brando-Dio,"“一，吃饭是员工生存的第一准则。二，食堂中的员工不断增加，但食堂中的饭菜总量保持不变。"""
2020-11-08 13:53:05,喜欢娵訾的实沈,电磁波的发射功率超过太阳阈值，太阳将不再像原先一样将其吸收而是把它放大，放大后的波将有足够的能量撑过传播途中的衰减，从而向远处传播，让远方的文明接受到信号，远方文明根据黑暗森林法则对目标进行打击（小说里是这么写的，事实上太阳能不能放大电磁波我还没学[大哭]）
2020-11-08 11:58:51,乔乔乔千,两个个体在没交流前对对方猜疑：你猜疑我是怎么想的，我猜疑你是怎么想的，就算你知道我是怎么想的，我也知道你是怎么想的，但你还会猜疑我是怎么想你的，我也会猜疑你是怎么想我的……这样的猜疑在没有进行交流前会一直循环下去，形成一条链，即猜疑链。
2020-11-08 11:31:57,多啦ABC梦_nJ9j,不是说在跳动吗，好像是对整个人类的感情
2020-11-08 11:30:52,多啦ABC梦_nJ9j,前进，前进，不择手段地前进！（韦德）
2020-11-08 11:28:32,多啦ABC梦_nJ9j,抓周树人和我鲁迅有何关系
2020-11-08 11:09:59,隔壁家的阿靖呀,啊不是汪淼？
2020-11-08 09:52:51,一只平平无奇的大白鹅-颜颜,程心永生
2020-11-08 01:22:26,Resetly_,换一种方式思考，或许我们都能活下去。世界不配拥有罗辑。
2020-11-08 00:59:24,whxjacob,全是男的（女🐩震怒）
2020-11-08 00:41:23,祈者自安,褚岩啊，继承了北海的意志
2020-11-08 00:06:54,蓝色饼铛舰长,归零者可能是一个或者一群文明，想要凭借他们的实力通过小宇宙排出的物质钓鱼。毕竟有小宇宙对高等文明太危险了，总有文明在小宇宙中打破了质量守恒定律或者能量守恒定律（因为小宇宙独立于大宇宙，可以篡改物理规律），从而获得无尽的力量打败高等文明。
2020-11-07 19:51:17,伊万诺维奇z,营销号说罗辑进入三体游戏
2020-11-07 19:28:02,火柴烧,不管是先有鸡还是先有蛋，第一只鸡或第一个蛋在历史上客观存在文明亦然
2020-11-07 17:31:05,那一曲百转千回,面壁人罗辑，和三体世界对话!
2020-11-07 15:09:32,千诤,原世界观太俗了，为了这一方面不被比下去专门找的大刘。有一说一如果大刘接手后就算没做任何改动就是冠名都能有不错的品牌效应
2020-11-07 15:06:29,千诤,歌者：“二向箔来一个。”虫子和人一起没有了
2020-11-07 11:43:35,莫离180214,我觉得归零者应该是有着一个共同目标的许多文明。高级文明获取信息了解宇宙情况后可能会选择加入。归零者的名字只是人类取的，也许他们都是完全不同的，不认识的许多种族。
2020-11-07 08:20:55,滑-稽-的-秀-儿,刚才查了一下，大刘还就真是王者的世界观设定者
2020-11-07 08:16:23,一只平平无奇的大白鹅-颜颜,主持人:秦始皇，请你评价一下对方学手。   秦:额，韦德这家伙，我不想评价，罗辑这波回首掏确实挺⑥，云天明老子把你当兄弟你就怎么对我的，让后史强……神级奶妈，章北海也是挺⑥的，给人类保存了一个火种。最后我还要说一下，我方选手程心，她是真的流弊。记:其实程心是对面的      秦:我去！！！！
2020-11-07 08:13:03,奇怪的罗非鱼又冰冻了,老卢本伟了
2020-11-07 01:57:33,一起去吃饭嘛,草！
2020-11-06 19:42:14,很棒的乔尼乔斯达,草同城，握爪
2020-11-06 19:38:17,手-起-刃-落,黑暗森林法则
2020-11-06 17:17:46,埋-我爱,圣母爬
2020-11-06 16:14:55,反向我,罗辑的诅咒是怎么做到的？
2020-11-06 15:50:47,反向我,褚岩
2020-11-06 15:49:00,君兮祸兮,漫天繁星，举目皆敌。
2020-11-06 15:46:42,君兮祸兮,漫天繁星，举目皆敌。
2020-11-06 05:59:31,有点布什尔维克的同学,韦德当上了也会被推翻，没办法啊233
2020-11-06 05:30:53,小明哥哥1995,这只是比喻宇宙是黑暗森林，毕竟每个文明都隔很远，你假设一下现在科技有能打很远的枪能从南半球打死北半球的人，你是西半球的人能发现是哪里开枪的？就算是死了人你都不知道，别说开枪的人了，如果死的那个人主动暴露自己位置你才会发现吧
2020-11-06 00:33:00,踩小强的小强,爬，脑瘫
2020-11-05 22:14:21,吾音mymusic,致敬三体，我的朋友。那本书读起来太费脑子了（好好读的话），而且感觉世界观都炸了。
2020-11-05 21:42:16,鴘魓,程心呢？
2020-11-05 19:22:06,神通万象,因为黑暗森林是逻辑推理出来的，三体人智力不可能比地球人低
2020-11-05 19:17:02,神通万象,归零者是高维文明降下来的，说不定还是最初的11维文明之一，现在的宇宙只是他们的战争残骸，它怎么会在意黑暗森林？
2020-11-05 19:14:51,神通万象,褚岩，希恩斯作用不比他们小
2020-11-04 23:02:23,liang_an7q,发现宝藏，超燃音乐，网抑云新知识之不抑云
2020-11-04 22:19:34,天宇小宝宝,一个文明在发现另一个文明之前并没有交流，也不存在思维透明所引发的问题，猜疑链还是存在
2020-11-04 22:04:40,秋月明山_,现在网络就是这样的大环境，喜欢音乐又谨言慎行的人都在安静的听歌。
2020-11-04 21:52:39,纶霜,然后还有好多人在原曲下ky（给三体拉黑说实话我都看不过去了）然后理直气壮
2020-11-04 21:43:14,秋月明山_,大家都在关注三体啊，只有我注意到原曲是初音的《Schwarzer Regen》吗？[多多笑哭][多多笑哭][多多笑哭]
2020-11-04 20:34:01,ZHYFAN0317,叶文洁不是已经对人类失望了吗 怎么又想灭火了
2020-11-04 20:30:50,ZHYFAN0317,云天明是哪部第三部吧 看完一二我没点印象了
2020-11-04 20:28:04,ZHYFAN0317,“我对三体世界说话。”罗辑说，声音并不高，他本想重复一遍，但是没有，他知道对方能听到。
2020-11-04 18:44:24,-安塞尔-,A带了消音器所以不会有其他文明被引来（狗头保命）
2020-11-04 15:04:30,星辰闪耀时,“我有一个愿望，有一天能有一把火烧了这片黑暗森林”😏
2020-11-04 00:56:47,鲱鱼QAQ,我在这里”
2020-11-03 22:47:44,manxhrbfhidnfjqlcnfiekdn,若猜疑链成立那么宇宙或许根本就不是所谓猎人互相提防的“黑暗森林”，而是互不关心一起拾荒的“大垃圾场”如果猜疑链不成立，那么就是人类文明在寻找外星文明的方法上出现了问题：谁说外星环境得那么苛刻才能造出生命呢？如果对生命的探索仅限于对比地球生命我觉得找到外星生命是极其困难的
2020-11-03 22:35:28,嗷鲨鱼辣椒,死    神     永    生
2020-11-03 21:52:19,酸甜可口氯化钠,真可以，两个角色是不同的，凭什么能刷
2020-11-03 21:51:14,酸甜可口氯化钠,是，在罗辑的歌刷北海，是我云
2020-11-03 20:48:21,逸云流光,就是指“蓝色空间”上的人最后也死啦？😨
2020-11-03 18:57:22,忘川留情,好家伙，云的可以[西西机智]
2020-11-03 14:06:36,见风起意,伊文斯在第一部就死了 维德是在第三部出现的
2020-11-03 13:33:38,STAR-2001,爬，杠精
2020-11-03 13:33:17,STAR-2001,面壁者罗辑，我是你的破壁人
2020-11-03 12:37:16,嘿咻嘿咻-JTS,还有一个坟墓文明，不是三体中的
2020-11-03 11:02:13,这次十点就睡,仰望星空 满目皆敌
2020-11-02 19:14:52,天煜Z2,[多多大笑]
2020-11-02 18:34:51,岚荒渡,你不要，我害怕。。我会坍
2020-11-02 00:39:53,丶冷染青花,看完水滴篇，逻辑太厉害了哇
2020-11-01 12:16:44,殷王武丁,逻辑
2020-11-01 11:09:51,犟犟牛牛,太赞了！期待更好的作品！
