评论时间,昵称,评论内容
2020-12-20 01:11:45,1220042020180132420,不可能微乎其微，在原著里面仅仅是二向箔就已经开始无差别打击了，无差别打击对宇宙的影响很大，宇宙将因为二向箔的打击从三维跌入二维，所以歌者文明才开始将自身二维化，其他的武器更是不敢想，所有的恒星都要被打爆，所有的行星都要毁灭至无法生存的状态。
2020-12-19 22:25:08,幻梦qvq,这个我觉得不对。这是智子啊！
2020-12-19 18:13:19,雪城_刚大木,虫子是杀不尽，可是虫子从不会在一片农田里待着不走（三体一同感）
2020-12-19 17:50:53,B站入驻网易云的,谁跟我一样以为歌词是黑暗森林，呜呜
2020-12-19 15:36:47,守护者-半翼天使,代催更，懂？
2020-12-19 15:35:09,守护者-半翼天使,第三部结尾中的几百种语言也是
2020-12-19 15:29:33,守护者-半翼天使,网络病毒:多次失手的我……
2020-12-19 14:55:46,星星贩卖户,好像前几年不是大刘搞的，后来改了
2020-12-19 13:06:17,猎户星域,谢谢
2020-12-19 11:23:32,小刺刀不淦,不是的，三体人思维透明是三体人告诉人类文明的，猜疑链的本质是:你说的不一定是真的，就算是真的我也不知道。三体人虽然思维透明但是由于距离限制其它文明并不能确定他们的思维是透明的，所以黑暗森林依然存在
2020-12-19 11:02:56,sigh-sadness,孩子，你没看过
2020-12-19 07:55:55,昵称不能少于两个汉字_SwnA,二向箔不知道怎么样？
2020-12-19 07:55:43,昵称不能少于两个汉字_SwnA,光速的物质在进入低光速黑洞时，速度大幅度降低，我在低光速黑洞外的物质，却没有减速，会被撞碎
2020-12-19 07:40:49,永生古月方源,这个封面是两个孩子点燃了火堆，而周遭的黑暗里都是各种各样的眼睛
2020-12-19 05:48:43,孔子的师父,我觉得讨论人性的缺点本质上只是对自我放纵的借口，三体只是小说请不要随意拿来和生活比较，人性是复杂的，对与错都是认知的结果，不是手段。如果人类能随便战胜人性的缺点，那处处是活佛，记住自己才是结果。
2020-12-18 23:53:36,蛋糕怎么融了,人类配？
2020-12-18 23:41:28,蛋糕怎么融了,自己要求人家办事，事没成就说人家是个骗子是个什么骚操作？
2020-12-18 23:39:17,蛋糕怎么融了,人类把自己的方位告诉全宇宙就好比你把你家住哪发到暗网上
2020-12-18 22:46:13,昵称不能少于两个汉字_SwnA,他没有回复，全剧终
2020-12-18 22:39:01,昵称不能少于两个汉字_SwnA,好家伙，黑暗森林打击打的都这么远，打都打不到自己（大雾）
2020-12-18 22:35:17,昵称不能少于两个汉字_SwnA,可以创造小宇宙，那么可不可以创造大宇宙
2020-12-18 22:19:52,未知的my,这是计划的一部分！
2020-12-18 22:19:25,昵称不能少于两个汉字_SwnA,低质量红矮星（大雾）
2020-12-18 22:14:14,昵称不能少于两个汉字_SwnA,身不得，男儿列，心却比 男儿烈
2020-12-18 20:58:14,日冕号舰长,日推的集合↓[奸笑]
2020-12-18 20:56:08,日冕号舰长,两首曲子都不戳儿～[亲亲]
2020-12-17 23:11:44,H9-C5,奥特六流氓😂
2020-12-17 21:57:34,冰冻罗非鱼比二向箔更致命,在西方的天际，正在云海中下沉的夕阳仿佛被融化了，太阳的血在云海和天空中弥漫开来，映现出一片壮丽的血红“这是人类的落日……”叶文洁轻轻地说。
2020-12-17 21:51:03,承爹世界第一,嘿嘿，我买的典藏版没有分，老厚一本了
2020-12-17 21:48:01,亦梦星海_yomD,不要回答!不要回答!不要回答!叶文洁：好的全剧终
2020-12-17 20:39:56,水峪-,人类的劣根性
2020-12-17 19:23:21,雨滴200301,罗辑 ：冲鸭，冲向卫星站章北海：有冰稿（500万卢布）史强：花了我2万卢布的钥匙打开的褚岩：金色传说，大AK加3.5万大弹夹Mr.xiens（希恩斯）：哇，5个显卡一把手枪章北海他爹：芜湖！起飞！一个LEDX（逃离塔科夫的梗）
2020-12-17 19:16:15,雨滴200301,褚岩呢
2020-12-17 18:57:02,永生古月方源,穿透少女胸膛的子弹
2020-12-17 11:16:07,吹一辈子amazarashi,超银河传说时期就开虫洞赶路了
2020-12-16 22:27:04,H9-C5,程心错在没有认识到宇宙的残酷，最终只有一个文明可活，但是程心一直幻想文明共存
2020-12-16 09:53:28,Lvorywei,战歌起
2020-12-16 00:00:17,柏拉不拉图伯,排险者
2020-12-15 17:50:08,史蒂芬森2一18,二向箔会剥离宇宙质量，导致宇宙停止膨胀
2020-12-15 14:15:02,种花军兔2001,不，其实宇宙里不止她一个留了物质，可能有些留了更多
2020-12-15 14:13:02,种花军兔2001,“有个娘们把她老公的那玩意割下来了，你知道用的什么吗？冰箱里的冷冻罗非鱼。”
2020-12-14 23:28:02,超高校级的骑士,人类最强的武器不是恒星级战舰，而是全人类的死神：程心，一个甩手毁了一切
2020-12-14 20:41:24,雷博奥,这是老张
2020-12-14 18:49:19,言绫依是什么依一v一,这可能是剧情bug吧，一个说出兽性＞人性的枭雄却答应了一个坑了全人类的承诺
2020-12-14 14:06:34,这昵称已被别人使用,维德要是心狠点一枪崩死程心没准三体根本不会进攻，还是心有点软
2020-12-13 22:15:29,无水听,朋友，不是最高敬意。是“请向托马斯·维德先生表示遗憾”。
2020-12-13 22:12:23,无水听,真实。反正怎么塑造都总有人能性别歧视，一被别人指出来立马就“女拳警告”，“女拳警告”都tn成了免死金牌了。有这句话在，想怎么玩歧视就怎么玩歧视，不服就“女拳警告”。多一事不如少一事，只能把什么事儿都往女性身上推喽。多省事啊，还符合某些垃圾的想法。
2020-12-13 19:03:39,好名子都被抢了,等等，归零者也不是一个文明啊，他是一个组织
2020-12-13 10:20:42,iamsKzhang,无知女可不可以是 东方延续，不知道宇宙的恐怖。
2020-12-13 01:58:59,薛定谔傲娇的金丝猫,一般90偶尔92好像，维德就不一样了
2020-12-12 21:01:04,sovietpower1709,“你希望”
2020-12-12 20:02:18,siyezi,以人类的傲慢程度被打是必然的
2020-12-12 17:54:50,O5议员_kPX4,还有叶文洁呢，没了她哪有三体入侵[大笑]
2020-12-12 16:51:20,老纳替你超度,刘慈欣原著小说三体第1部三体  第二部黑暗森林和第三部死神永生 还有神游八方制作动画我的三体第一部 章北海传和第二部  罗辑传都表示了两者对科技的喜爱，所以两者都对科技很喜爱[大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑]
2020-12-12 16:44:54,老纳替你超度,我唱了几遍，就是觉得很费嗓子，而且很多时候需要考验我们憋气，还有希望大家能把小说和我的三体都看看，我最推荐的是我的三体，也希望大家能喜欢这首歌
2020-12-12 14:17:17,執星春,维德呗。在寓言故事当中，云天明也承认地球应该交给星舰地球，全力发展光速飞船
2020-12-12 11:13:41,圆圆圆满满满,破壁者可以使用智子，罗辑的破壁者是他自己，所以罗辑可以使用智子[西西奸笑]
2020-12-12 11:11:22,圆圆圆满满满,唱的什么玩意，一句难听的都没有
2020-12-12 00:07:47,喀秋莎-侬娜,程心不应该，她这个人不适合三体宇宙
2020-12-11 20:10:17,Ericwonne,这封面太形象了，我第一眼看到有种拿它做头像的冲动
2020-12-11 11:18:36,悠闲wind,其实说到这就已经不是三体的范畴，他想表达的就是物质是会被消耗的，同时根据第一条定律，物质总量是不变的，那你为了生存，这是必然的选择，因为低等无法理解高等，就像人类企图逃避打击所做的那些，而在没有外部因素的情况下本身也不可能出现一个远远超越所有文明的文明
2020-12-11 04:56:12,吾之荣誉即忠诚,人类不被感谢逻辑，也不配拥有他，星辰大海才是他的归宿
2020-12-11 02:48:46,秋_I,的确
2020-12-10 23:32:18,言绫依是什么依一v一,我在这里
2020-12-10 20:59:59,背背背起了行囊_十年老兵,歌者：来个二向箔，我给这弹星的文明二维化
